ProductCode,SupplierProductCode,Brand,MainCategory,ProductName,Designation,Weight,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,SalesMultiple,StockLevel,DefaultPicture,NewPartNumber,StockValue,CommodityCode,Lieferant
010000,ODU-001,TOURMAX,Elektrik,BIHR Kondensator Honda Einspritzanlage,BIHR Kondensator Honda Einspritzanlage,152,9,8,7,10000,1,Short,https://www.mybihr.com//medias/1078180-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjIxNjI2fGltYWdlL2pwZWd8aGY1L2hlZi84OTc3MDQwMzc1ODM4LzEwNzgxODAtMV84MDBXeDgwMEh8MDgxNzhhMjllMWZjZGE0ZTUyZTcyMGE0ZWRhYTU4MTMwODA5MGFiNDQ3NjljYTg0NzIxZTY4ZjQyZDVjODJjMQ,1078180,3,8532250000,Bihr
010001,ODU-002,TOURMAX,Elektrik,BIHR Kondensator Honda Einspritzanlage,BIHR Kondensator Honda Einspritzanlage,147,9,8,7,10001,1,Short,https://www.mybihr.com//medias/1078181-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjUyNzI1fGltYWdlL2pwZWd8aDI1L2hlOS84OTc3MDQwNTcyNDQ2LzEwNzgxODEtMV84MDBXeDgwMEh8NmQzYzg3MDYzMjY2ZDMzMmY3OTQzYzljODc2YWNkZjE2YzczNDQyZTFmYzEzYjU3MTQ3NjE3NDVmMzVjNmY4MA,1078181,3,8532250000,Bihr
010002,ODU-003,TOURMAX,Elektrik,BIHR Kondensator Yamaha Einspritzanlage,BIHR Kondensator Yamaha Einspritzanlage,154,9,8,7,010002,1,Short,https://www.mybihr.com//medias/1080075-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA5OTEwfGltYWdlL2pwZWd8aDFmL2gzNi84OTc3MjAwOTM5MDM4LzEwODAwNzUtMV84MDBXeDgwMEh8MzljNGU3ZGEzNWMzODZjYjg1MDIwYmMwYzc5ZTJmYTRmYWMzOGU3N2U4M2JjZTkzMTUzZmZkZGE0ZTE0ODZhOA,1080075,3,8532250000,Bihr
010003,ODU-004,TOURMAX,Elektrik,BIHR Kondensator Kawasaki Einspritzanlage,BIHR Kondensator Kawasaki Einspritzanlage,138,9,8,7,010003,1,Short,https://www.mybihr.com//medias/1078182-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4MzI2fGltYWdlL2pwZWd8aDY3L2hlMi84OTc3MDQwNzY5MDU0LzEwNzgxODItMV84MDBXeDgwMEh8ZDcyYmNjMmFlNWE4NGViOWE2Y2NiYTBlOTc3MjYwNTUzOWNhNzM4N2JjN2MwNWU0NjE1ZWI4OTc5ZGFjZGIzNA,1078182,3,8532250000,Bihr
010004,ODU-005,TOURMAX,Elektrik,BIHR Kondensator Suzuki Einspritzanlage,BIHR Kondensator Suzuki Einspritzanlage,141,9,8,7,010004,1,Short,https://www.mybihr.com//medias/1078183-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjExMzc4fGltYWdlL2pwZWd8aDk3L2hkYi84OTc3MDQwOTY1NjYyLzEwNzgxODMtMV84MDBXeDgwMEh8OWFhNzI1NThmMTg4YTllMDQ4ODZiZWI1M2JjNWRjYTBlMDBiYzkxZjNlZjFkYTM3MWZlYzVlOTk1OWY0NzgxYw,1078183,3,8511400090,Bihr
010005,ODU-006,TOURMAX,Elektrik,BIHR Kondensator Honda Einspritzanlage,BIHR Kondensator Honda Einspritzanlage,138,9,8,7,010005,1,OutOfStock,https://www.mybihr.com//medias/1078184-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI3OTg5fGltYWdlL2pwZWd8aDFiL2g4ZC84OTc3MDQxMTYyMjcwLzEwNzgxODQtMV84MDBXeDgwMEh8YTJiZjEzZjcxNGY4YTBmMzYyYmRjMGQzYTE4NTRmN2U5NjQ3OTg1YzYxYjk3ODgzMGMxOThmMTBhY2VlZjQ2MQ,1078184,3,8532250000,Bihr
010006,IFP-900,TOURMAX,Motor,TOURMAX Kraftstoffpumpe Honda VFR800F,TOURMAX Kraftstoffpumpe Honda VFR800F,337,9,8,7,010006,1,InStock,https://www.mybihr.com//medias/1078268-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc5NzF8aW1hZ2UvanBlZ3xoZTUvaGM3Lzg5NzcwNTc0ODA3MzQvMTA3ODI2OC0xXzgwMFd4ODAwSHxkNGM3ZDA2ZjI5NTQ2MTZmZTg3YjFmNzI0OTkyODE2ODFmMjRhYmZjN2Y4OTEyNzBlMjMyZDc0ZDUyMjEzNzNj,1078268,3,8413308090,Bihr
010007,FPP-907,TOURMAX,Motor,TOURMAX Kraftstoffpumpe Yamaha,TOURMAX Kraftstoffpumpe Yamaha,445,9,8,7,010007,1,OutOfStock,https://www.mybihr.com//medias/800Wx800H-1078267-1.jpg?context=bWFzdGVyfHJvb3R8Mjk4MTl8aW1hZ2UvanBlZ3xoY2QvaDkzLzMzMTMzMDEwNjgxODg2LzgwMFd4ODAwSF8xMDc4MjY3LTEuanBnfDZkZGQ2ZTZmNWM5YTMyYjQ1ODY2Nzg2N2YyZWFlYWYwZWE2MGFlMmNiZWEyMDI4NTJiM2JmM2QxODJhODQzMzY,1078267,3,8413308090,Bihr
010008,FPP-906,TOURMAX,Motor,TOURMAX Kraftstoffpumpe Honda XL1000V Varadero,TOURMAX Kraftstoffpumpe Honda XL1000V Varadero,448,9,8,7,10008,1,InStock,https://www.mybihr.com//medias/1078266-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMzNDgzfGltYWdlL2pwZWd8aDE1L2hjMS84OTc3MDU3Mjg0MTI2LzEwNzgyNjYtMV84MDBXeDgwMEh8ODQyYzM5ZTdiMzI0ZDRhMmU3ZGQ3NWE4NDZkMmM5MDM3NzViODkwNWIzMmE4MmRiYTE3OTdjZWIxYzU3ZmIyMg,1078266,3,8413308090,Bihr
